Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
non_covid_1	(0.0, 0.01424781721341858)	(1.0, 0.013078613784235854)	(2.0, 0.01620850625895096)	(3.0, 0.022332162139083768)	(4.0, 0.02397109156627686)	(5.0, 0.023828505782230187)	(6.0, 0.024655503329700894)	(7.0, 0.025353904641748373)	(8.0, 0.024624295875079357)	(9.0, 0.02465012273407649)	(10.0, 0.025912948527123825)	(11.0, 0.02650589016493301)	(12.0, 0.027442651863141536)	(13.0, 0.03069575997765546)	(14.0, 0.03617966303804678)	(15.0, 0.044851030946334317)	(16.0, 0.06345067390076987)	(17.0, 0.09689699436162004)	(18.0, 0.13995144442896626)	(19.0, 0.19112628941266116)	(20.0, 0.270600915142465)	(21.0, 0.44515819838934023)	(22.0, 0.5687117395933765)	(23.0, 0.6821433043087863)	(24.0, 0.9063285112973407)	(25.0, 1.1510842734175493)	(26.0, 1.5136793841886784)	(27.0, 1.9235392611032491)	(28.0, 2.1597285769298464)	(29.0, 2.289051192762367)	(30.0, 2.4330918898658798)	(31.0, 2.585681277297443)	(32.0, 2.815195426192406)	(33.0, 2.961760698762888)	(34.0, 3.044675139275373)	(35.0, 3.387025759009686)	(36.0, 3.7694246900359927)	(37.0, 3.860628476167432)	(38.0, 3.8870369775515634)	(39.0, 3.768859189435868)	(40.0, 3.5266285408421916)	(41.0, 3.3386407528572444)	(42.0, 3.085247520581182)	(43.0, 2.9391691919147083)	(44.0, 2.924381700960162)	(45.0, 2.9310342693901736)	(46.0, 2.970433680849863)	(47.0, 3.003836956545718)	(48.0, 2.9616390973017768)	(49.0, 2.825289961643348)	(50.0, 2.620134307199619)	(51.0, 2.381502200959543)	(52.0, 2.1700017481555185)	(53.0, 2.0071327327835333)	(54.0, 1.8693512825698886)	(55.0, 1.7265890149867342)	(56.0, 1.6432683395046075)	(57.0, 1.531608066868751)	(58.0, 1.3040126383734503)	(59.0, 1.083529281174485)	(60.0, 1.2370220706113857)	(61.0, 1.11393610316711)	(62.0, 0.728604209465942)	(63.0, 0.5398152507925214)	(64.0, 0.31354775329732315)	(65.0, 0.24070955421065773)	(66.0, 0.18783282683096425)	(67.0, 0.16611082423568774)	(68.0, 0.14660616509722763)	(69.0, 0.11757300916751263)	(70.0, 0.09926714673416948)	(71.0, 0.0825442555335256)	(72.0, 0.06678771930702448)	(73.0, 0.056274035456941436)	(74.0, 0.050761077180178346)	(75.0, 0.04834357556613417)	(76.0, 0.045393933044836556)	(77.0, 0.04356237829428985)	(78.0, 0.045073249545622154)	(79.0, 0.037028182968015105)	(80.0, 0.029135387246578652)	(81.0, 0.02685132440401967)	(82.0, 0.022145993530479434)	(83.0, 0.019801668016927138)	(84.0, 0.018874053331280095)	(85.0, 0.015776444430311416)	(86.0, 0.01395726504970083)	(87.0, 0.01435919554284372)	(88.0, 0.015119473704571833)	(89.0, 0.01590396454660976)	(90.0, 0.01267829746978029)	(91.0, 0.008789741012024394)	(92.0, 0.008146221775345821)	(93.0, 0.008164515800468791)	(94.0, 0.008140303120158976)	(95.0, 0.008350684409073127)	(96.0, 0.009369231160772575)	(97.0, 0.011817940229438282)	(98.0, 0.01785281628176845)	(99.0, 0.06913204482057678)	(100.0, 0.11604007747412029)
non_covid_2	(0.0, 0.03163374642247881)	(1.0, 0.03704382717431599)	(2.0, 0.04925052434373064)	(3.0, 0.05428481505532044)	(4.0, 0.04831104924311221)	(5.0, 0.04168159460205856)	(6.0, 0.03902903524900211)	(7.0, 0.03831633000025709)	(8.0, 0.03738722152143859)	(9.0, 0.036541046017019504)	(10.0, 0.03614581856089727)	(11.0, 0.03661490819734399)	(12.0, 0.03866231600282967)	(13.0, 0.04526067077848354)	(14.0, 0.05377296310394902)	(15.0, 0.06674808611428329)	(16.0, 0.13341971839279212)	(17.0, 0.22683593908738894)	(18.0, 0.283045058314321)	(19.0, 0.306205387243084)	(20.0, 0.3093840526524868)	(21.0, 0.34624905560075403)	(22.0, 0.4519263982292151)	(23.0, 0.6011267066569469)	(24.0, 0.7670418969093368)	(25.0, 0.978835867765031)	(26.0, 1.2579299473458545)	(27.0, 1.5154160996124542)	(28.0, 1.698053946655852)	(29.0, 1.8506804235884602)	(30.0, 1.9253278755142882)	(31.0, 2.0089359761584284)	(32.0, 2.197581280534884)	(33.0, 2.4100464901521237)	(34.0, 2.628249624935623)	(35.0, 2.8792177637455185)	(36.0, 3.0640002056737767)	(37.0, 3.1220973458960204)	(38.0, 3.1799223622960158)	(39.0, 3.1127090740284613)	(40.0, 3.001178477566216)	(41.0, 3.025301606494647)	(42.0, 2.9727337631749395)	(43.0, 2.903728345163722)	(44.0, 2.9462846234801496)	(45.0, 3.0424713238507772)	(46.0, 3.1876714120914618)	(47.0, 3.310609180016802)	(48.0, 3.2993652828470563)	(49.0, 3.2116571832810443)	(50.0, 3.174246636860556)	(51.0, 3.020389123589206)	(52.0, 2.7350413794075767)	(53.0, 2.5272709536379794)	(54.0, 2.370132404566953)	(55.0, 2.2374901828091556)	(56.0, 2.107657315559138)	(57.0, 1.9826578857233372)	(58.0, 1.7795874271122822)	(59.0, 1.466972875941393)	(60.0, 1.310478353249687)	(61.0, 1.2175649137123867)	(62.0, 0.9764943070659723)	(63.0, 0.7046633418837229)	(64.0, 0.5123430700791927)	(65.0, 0.39454844239434134)	(66.0, 0.3261326259979947)	(67.0, 0.2699325775651376)	(68.0, 0.22081941096025604)	(69.0, 0.19082359078216576)	(70.0, 0.17300855121899034)	(71.0, 0.1600969237671806)	(72.0, 0.12940913158394515)	(73.0, 0.10522769040788925)	(74.0, 0.09311170117922397)	(75.0, 0.09015073482761966)	(76.0, 0.10402904976227263)	(77.0, 0.11162000857526955)	(78.0, 0.08532507237975341)	(79.0, 0.05757492164907244)	(80.0, 0.052582097424682346)	(81.0, 0.05229312784200937)	(82.0, 0.046582415057974294)	(83.0, 0.036633049785493865)	(84.0, 0.03215466916792518)	(85.0, 0.027358810757733706)	(86.0, 0.021756947502597875)	(87.0, 0.02225713700444438)	(88.0, 0.02115438761047709)	(89.0, 0.014772436064896711)	(90.0, 0.010750186806524835)	(91.0, 0.009276830683210138)	(92.0, 0.007488588422722641)	(93.0, 0.0072657060540241986)	(94.0, 0.00787474508476994)	(95.0, 0.0065504091498291995)	(96.0, 0.004983753430315154)	(97.0, 0.0059802449508331865)	(98.0, 0.009477683980583731)	(99.0, 0.044778622864786906)	(100.0, 0.07730389876205948)
non_covid_3	(0.0, 0.011493555087803718)	(1.0, 0.010908271703747405)	(2.0, 0.013146243780192952)	(3.0, 0.017301387373207855)	(4.0, 0.0185487989021768)	(5.0, 0.018455374620998746)	(6.0, 0.01923303307418508)	(7.0, 0.020213593276070793)	(8.0, 0.019858317840604954)	(9.0, 0.019701207148032286)	(10.0, 0.020730190075937044)	(11.0, 0.021367054189883217)	(12.0, 0.022442354507893152)	(13.0, 0.025125605130122547)	(14.0, 0.029790766348272858)	(15.0, 0.037910520634097285)	(16.0, 0.05220601465627491)	(17.0, 0.07709161149221609)	(18.0, 0.1127965295895436)	(19.0, 0.16353854628471004)	(20.0, 0.24069831802713773)	(21.0, 0.393350698635196)	(22.0, 0.49953305228432265)	(23.0, 0.5985414738069317)	(24.0, 0.7928660839931974)	(25.0, 0.991674270175042)	(26.0, 1.2567908004652413)	(27.0, 1.5686484197132835)	(28.0, 1.797610805855533)	(29.0, 1.967543257310671)	(30.0, 2.1590454015374028)	(31.0, 2.3585917711240483)	(32.0, 2.6055158306154937)	(33.0, 2.7531925129581056)	(34.0, 2.840658956666892)	(35.0, 3.0970980818210805)	(36.0, 3.35569070244817)	(37.0, 3.469122517149724)	(38.0, 3.5386546568761954)	(39.0, 3.5217590730003856)	(40.0, 3.4411983942560878)	(41.0, 3.3779951574537046)	(42.0, 3.271797540119202)	(43.0, 3.21319393595465)	(44.0, 3.215529542984101)	(45.0, 3.237837682327485)	(46.0, 3.3016864677544597)	(47.0, 3.3370640061171795)	(48.0, 3.253958765753979)	(49.0, 3.0676675910810687)	(50.0, 2.832082344487757)	(51.0, 2.5782725207230057)	(52.0, 2.3813886115664396)	(53.0, 2.2460999889080377)	(54.0, 2.122464400532915)	(55.0, 1.9710910114925342)	(56.0, 1.8773748781234199)	(57.0, 1.7409259522094853)	(58.0, 1.4700155374843111)	(59.0, 1.2183665778681594)	(60.0, 1.298206705395935)	(61.0, 1.151813488459817)	(62.0, 0.797280710237597)	(63.0, 0.5946852879136866)	(64.0, 0.3580455311945149)	(65.0, 0.2809781310653083)	(66.0, 0.22613281467400606)	(67.0, 0.20319860106323465)	(68.0, 0.17793535959774273)	(69.0, 0.1439718174681763)	(70.0, 0.1195907117505966)	(71.0, 0.09612884832641111)	(72.0, 0.07880167058825834)	(73.0, 0.06360509279494364)	(74.0, 0.05570508294512956)	(75.0, 0.056640378424867036)	(76.0, 0.05558271029513578)	(77.0, 0.04816298020067367)	(78.0, 0.04498576513965214)	(79.0, 0.03658442217534739)	(80.0, 0.02731225964366748)	(81.0, 0.02503770735571841)	(82.0, 0.020465180917778453)	(83.0, 0.016242403408530424)	(84.0, 0.014560766347325454)	(85.0, 0.012768072816663758)	(86.0, 0.010877217999017797)	(87.0, 0.01092800922793995)	(88.0, 0.011602506221346575)	(89.0, 0.011500397429523801)	(90.0, 0.010311935306143265)	(91.0, 0.008836357997508482)	(92.0, 0.008482924730967283)	(93.0, 0.008204230889368525)	(94.0, 0.007991065628089022)	(95.0, 0.007946064072930014)	(96.0, 0.008726617362997924)	(97.0, 0.010996169478151546)	(98.0, 0.016467937518303923)	(99.0, 0.06291480578218298)	(100.0, 0.10533469277680407)
non_covid_4	(0.0, 0.04414499569778003)	(1.0, 0.04137062988865036)	(2.0, 0.04599435946484251)	(3.0, 0.05293859810960139)	(4.0, 0.05035863256350065)	(5.0, 0.0463438445226857)	(6.0, 0.044037166302872015)	(7.0, 0.04258876908623351)	(8.0, 0.040542699914683254)	(9.0, 0.038958811605630646)	(10.0, 0.038071844397634336)	(11.0, 0.03775309455924236)	(12.0, 0.03850905289432787)	(13.0, 0.04170257025872348)	(14.0, 0.04780069392467329)	(15.0, 0.05787198502176452)	(16.0, 0.07787881999670414)	(17.0, 0.11234836861124169)	(18.0, 0.15763312869700427)	(19.0, 0.21301901865540865)	(20.0, 0.2902677666533629)	(21.0, 0.41340086764320716)	(22.0, 0.49025979060778846)	(23.0, 0.5778035564877558)	(24.0, 0.7662162145773507)	(25.0, 0.9986478539649754)	(26.0, 1.3101621094444769)	(27.0, 1.644553357142004)	(28.0, 1.8964485865007679)	(29.0, 2.1006923158126116)	(30.0, 2.294485046003727)	(31.0, 2.4794474195830944)	(32.0, 2.696221769801784)	(33.0, 2.8150382372831193)	(34.0, 2.913098698815392)	(35.0, 3.2074276124655756)	(36.0, 3.486530042272798)	(37.0, 3.5525987261319587)	(38.0, 3.599290647014929)	(39.0, 3.517724753254809)	(40.0, 3.3012072982453655)	(41.0, 3.160489681763581)	(42.0, 3.0094783280339263)	(43.0, 2.9414926629249107)	(44.0, 2.955295081599965)	(45.0, 2.9940448937133275)	(46.0, 3.09083906420421)	(47.0, 3.1795483352184504)	(48.0, 3.1843998896088244)	(49.0, 3.0864298408471043)	(50.0, 2.88981920328597)	(51.0, 2.621627264130271)	(52.0, 2.382710237311611)	(53.0, 2.2115194191244325)	(54.0, 2.080171178165522)	(55.0, 1.9510182002559142)	(56.0, 1.8772016798267597)	(57.0, 1.7645852744892208)	(58.0, 1.5271322686237536)	(59.0, 1.2854953029470757)	(60.0, 1.1428102482301699)	(61.0, 0.9554550097531112)	(62.0, 0.7464337467044049)	(63.0, 0.5791574429045819)	(64.0, 0.41401019336882744)	(65.0, 0.32912079787871557)	(66.0, 0.2566791662663458)	(67.0, 0.22370527026835296)	(68.0, 0.1969544878287449)	(69.0, 0.15735279788292633)	(70.0, 0.1310545915497374)	(71.0, 0.10543998772250925)	(72.0, 0.08224194052463286)	(73.0, 0.06583407168401613)	(74.0, 0.05711320929156266)	(75.0, 0.05628899315661258)	(76.0, 0.054844309778991095)	(77.0, 0.05075511689442132)	(78.0, 0.05063012700198638)	(79.0, 0.04183626846333627)	(80.0, 0.03367632382586746)	(81.0, 0.032681014969305616)	(82.0, 0.027382007009087394)	(83.0, 0.02317371514914417)	(84.0, 0.021615439522967572)	(85.0, 0.018094720134830898)	(86.0, 0.015451235135197656)	(87.0, 0.016650164820623797)	(88.0, 0.017765853286702903)	(89.0, 0.01754007748715085)	(90.0, 0.015031187136031049)	(91.0, 0.011399692894455624)	(92.0, 0.009803254370793768)	(93.0, 0.008847004855617843)	(94.0, 0.008165707491115911)	(95.0, 0.00748479431685712)	(96.0, 0.007452906526676484)	(97.0, 0.00890488951891763)	(98.0, 0.012857438740343874)	(99.0, 0.06314179452350409)	(100.0, 0.11047544117593329)
non_covid_5	(0.0, 0.013011570326877336)	(1.0, 0.014605327083289023)	(2.0, 0.019561157844166895)	(3.0, 0.02557343648755219)	(4.0, 0.027669135772907052)	(5.0, 0.02677037636426284)	(6.0, 0.02602054495871166)	(7.0, 0.025081876738781077)	(8.0, 0.024176952554409704)	(9.0, 0.023590974398448893)	(10.0, 0.023376829557400086)	(11.0, 0.023722056998121188)	(12.0, 0.025031260685442272)	(13.0, 0.029459516428827187)	(14.0, 0.03668658035234386)	(15.0, 0.04857194349243273)	(16.0, 0.09821623349951135)	(17.0, 0.1580106645104228)	(18.0, 0.19539938037190244)	(19.0, 0.24191456000462555)	(20.0, 0.2693137434930589)	(21.0, 0.31796323337490173)	(22.0, 0.4428424463562712)	(23.0, 0.6082427301922796)	(24.0, 0.791954669171123)	(25.0, 1.0251382844366845)	(26.0, 1.3244511244656376)	(27.0, 1.5948362410877013)	(28.0, 1.799191418281769)	(29.0, 1.9786344123004926)	(30.0, 2.063436742741459)	(31.0, 2.1566666460633375)	(32.0, 2.351249355882331)	(33.0, 2.5517174797494824)	(34.0, 2.76924159128241)	(35.0, 3.0149880460942877)	(36.0, 3.200657788059326)	(37.0, 3.271059202401641)	(38.0, 3.327243670531478)	(39.0, 3.236876169918286)	(40.0, 3.1023935342015188)	(41.0, 3.1289669622043927)	(42.0, 3.062019769040571)	(43.0, 2.9417823077198744)	(44.0, 2.92898845131473)	(45.0, 2.997484949957352)	(46.0, 3.1230306076410157)	(47.0, 3.234459253371358)	(48.0, 3.1912234099636048)	(49.0, 3.041152976589767)	(50.0, 2.9747748895641264)	(51.0, 2.818195750869927)	(52.0, 2.562380594986191)	(53.0, 2.4130862744302153)	(54.0, 2.312915807025193)	(55.0, 2.218654439385597)	(56.0, 2.1140492269995828)	(57.0, 1.8562104023679356)	(58.0, 1.5255204761971277)	(59.0, 1.319651359869221)	(60.0, 1.247089353865476)	(61.0, 1.183301770492765)	(62.0, 0.9951132309503603)	(63.0, 0.7260924765352819)	(64.0, 0.5118090902635593)	(65.0, 0.3946335757079803)	(66.0, 0.3294180355997304)	(67.0, 0.27725884155784986)	(68.0, 0.2413629748079847)	(69.0, 0.21290117866131666)	(70.0, 0.18587966880164206)	(71.0, 0.17622725232230751)	(72.0, 0.14762009725323064)	(73.0, 0.11999476383417447)	(74.0, 0.10490728639664527)	(75.0, 0.09979603839506683)	(76.0, 0.11961806359105681)	(77.0, 0.129971642193886)	(78.0, 0.0951721321378146)	(79.0, 0.06239142390144873)	(80.0, 0.05624741373463038)	(81.0, 0.05731846240175477)	(82.0, 0.051876912205952565)	(83.0, 0.039917571757137754)	(84.0, 0.033418600293187)	(85.0, 0.028484508478294382)	(86.0, 0.023153924245581107)	(87.0, 0.022696757456129955)	(88.0, 0.023402462045949868)	(89.0, 0.019549477216473325)	(90.0, 0.015982343303608895)	(91.0, 0.013990796281855037)	(92.0, 0.011104707855901872)	(93.0, 0.009530094350432426)	(94.0, 0.008984349467638358)	(95.0, 0.007461974324909606)	(96.0, 0.005361732573229464)	(97.0, 0.00500222880977178)	(98.0, 0.0064110422943685925)	(99.0, 0.046061581923956096)	(100.0, 0.08438734369596443)
non_covid_6	(0.0, 0.03858973153383504)	(1.0, 0.04392828619211285)	(2.0, 0.05697147820194851)	(3.0, 0.06278458029440323)	(4.0, 0.05766853473102872)	(5.0, 0.05215051712985227)	(6.0, 0.04916660778147161)	(7.0, 0.04696647112345591)	(8.0, 0.04453446751140546)	(9.0, 0.042691593119785876)	(10.0, 0.041738339202929166)	(11.0, 0.041705690672181675)	(12.0, 0.04239380524698073)	(13.0, 0.045720212239572344)	(14.0, 0.05156429924337342)	(15.0, 0.06113842889696918)	(16.0, 0.08117152577314528)	(17.0, 0.11261372450238127)	(18.0, 0.15480040913391932)	(19.0, 0.21434571450186599)	(20.0, 0.2997700753216161)	(21.0, 0.4343968117399625)	(22.0, 0.5187352449956144)	(23.0, 0.6154468475472905)	(24.0, 0.8187900071872516)	(25.0, 1.0641927925269883)	(26.0, 1.3945574524929565)	(27.0, 1.7438699056282783)	(28.0, 1.9940647466530161)	(29.0, 2.1909181270091063)	(30.0, 2.380978117540616)	(31.0, 2.5587418811734057)	(32.0, 2.7589661703410684)	(33.0, 2.8671091256552943)	(34.0, 2.9606128540967105)	(35.0, 3.2670569545508745)	(36.0, 3.574554126085964)	(37.0, 3.6497557536380967)	(38.0, 3.6825964324264207)	(39.0, 3.5756361025539842)	(40.0, 3.3428082003626605)	(41.0, 3.1732980684838075)	(42.0, 2.971736021365199)	(43.0, 2.8670479876423025)	(44.0, 2.868083590719516)	(45.0, 2.8945390902938164)	(46.0, 2.9816004526042943)	(47.0, 3.072314291309988)	(48.0, 3.080262025046539)	(49.0, 2.9826113093429156)	(50.0, 2.7898961822471766)	(51.0, 2.540951759154825)	(52.0, 2.319784165346134)	(53.0, 2.1546148323897216)	(54.0, 2.015333288886968)	(55.0, 1.8767188567640747)	(56.0, 1.8016644595289437)	(57.0, 1.6925734491084894)	(58.0, 1.4646590468184506)	(59.0, 1.232783358781858)	(60.0, 1.1190938963842105)	(61.0, 0.9423723903062394)	(62.0, 0.7180462071120478)	(63.0, 0.5551281671102362)	(64.0, 0.3973043376671589)	(65.0, 0.31841945676088895)	(66.0, 0.2520017396468078)	(67.0, 0.22132127065087154)	(68.0, 0.19887239045180616)	(69.0, 0.16317548510413904)	(70.0, 0.13543026458909996)	(71.0, 0.11037948364664209)	(72.0, 0.09011493572128153)	(73.0, 0.0744833598756877)	(74.0, 0.06593464363047337)	(75.0, 0.06677872252412986)	(76.0, 0.06464908173823772)	(77.0, 0.05633202449463298)	(78.0, 0.05361678967953741)	(79.0, 0.044455237637425885)	(80.0, 0.035044766542417866)	(81.0, 0.032951725383350935)	(82.0, 0.027630638728785163)	(83.0, 0.02260567632762339)	(84.0, 0.020353343610896725)	(85.0, 0.017654537037387476)	(86.0, 0.015017076429295489)	(87.0, 0.015459391237575205)	(88.0, 0.016610407910743162)	(89.0, 0.01667612087708843)	(90.0, 0.014765869899722428)	(91.0, 0.011771147025234319)	(92.0, 0.010216494694863297)	(93.0, 0.009490324826263026)	(94.0, 0.008861684645054947)	(95.0, 0.00827962580707896)	(96.0, 0.008650197028684251)	(97.0, 0.010419664214228262)	(98.0, 0.015330460733986383)	(99.0, 0.07889278309842541)	(100.0, 0.1387337968149258)
non_covid_7	(0.0, 0.04464935945405149)	(1.0, 0.04986764856233515)	(2.0, 0.06257371627931257)	(3.0, 0.06801972270896703)	(4.0, 0.06205506563171193)	(5.0, 0.0555549934414792)	(6.0, 0.0522164200135906)	(7.0, 0.04971187873820729)	(8.0, 0.04676936580485009)	(9.0, 0.04462281571720459)	(10.0, 0.04355931994485176)	(11.0, 0.04344301646629888)	(12.0, 0.04350518469207189)	(13.0, 0.04620216805959525)	(14.0, 0.052030264595966935)	(15.0, 0.061464816746563726)	(16.0, 0.0833703848391647)	(17.0, 0.1255483826888915)	(18.0, 0.17108730658700957)	(19.0, 0.21312594981829017)	(20.0, 0.2784396084076546)	(21.0, 0.4033111258069501)	(22.0, 0.4858824044631449)	(23.0, 0.5754511011157566)	(24.0, 0.7623277400103284)	(25.0, 0.9846989432243335)	(26.0, 1.2957000330298385)	(27.0, 1.6301161913312645)	(28.0, 1.8556918522501422)	(29.0, 2.019808983096973)	(30.0, 2.1820921512835)	(31.0, 2.3465787988880145)	(32.0, 2.55038580151487)	(33.0, 2.6649695253278187)	(34.0, 2.7583350241286233)	(35.0, 3.085177835195994)	(36.0, 3.42290462614968)	(37.0, 3.5117706122952397)	(38.0, 3.5735515090660988)	(39.0, 3.488704803494673)	(40.0, 3.2611320756377613)	(41.0, 3.117417299154728)	(42.0, 2.9412486132600137)	(43.0, 2.8678523868007675)	(44.0, 2.892471702726269)	(45.0, 2.9524448313139757)	(46.0, 3.0896284514938896)	(47.0, 3.2134961965287383)	(48.0, 3.244311728709514)	(49.0, 3.1547433813165977)	(50.0, 2.95981910052168)	(51.0, 2.6969428533986934)	(52.0, 2.4661890682364978)	(53.0, 2.2962693368110565)	(54.0, 2.1580068534321946)	(55.0, 2.048565629373637)	(56.0, 1.9965423499715775)	(57.0, 1.8942585048499092)	(58.0, 1.6292992729038318)	(59.0, 1.3315082325556997)	(60.0, 1.2090137766429834)	(61.0, 1.0206688499891434)	(62.0, 0.7773071390843648)	(63.0, 0.5974942775283271)	(64.0, 0.4153609345563574)	(65.0, 0.33125570731816795)	(66.0, 0.2598502611224396)	(67.0, 0.22783397410903652)	(68.0, 0.20420446016016833)	(69.0, 0.1668403086915053)	(70.0, 0.13783079839540457)	(71.0, 0.11264847584099263)	(72.0, 0.09120812166260314)	(73.0, 0.07510585266800372)	(74.0, 0.06760689774905863)	(75.0, 0.0691572615367349)	(76.0, 0.06820448108780928)	(77.0, 0.05970873899832396)	(78.0, 0.056645731470069655)	(79.0, 0.04713224662832286)	(80.0, 0.0376861689077794)	(81.0, 0.03552494991292903)	(82.0, 0.029473676431226153)	(83.0, 0.02492387037984999)	(84.0, 0.02342205368982792)	(85.0, 0.019856461459959243)	(86.0, 0.016601710358955597)	(87.0, 0.016989388620798504)	(88.0, 0.01891834991823848)	(89.0, 0.019995816078405476)	(90.0, 0.016616379266160466)	(91.0, 0.01194328454232435)	(92.0, 0.010093255936034372)	(93.0, 0.008775848365159199)	(94.0, 0.007841229420391975)	(95.0, 0.007367284013796638)	(96.0, 0.007600938749988444)	(97.0, 0.009074116144991488)	(98.0, 0.01282551453278848)	(99.0, 0.05920161392067)	(100.0, 0.10276547424156136)
non_covid_8	(0.0, 0.015292693276197162)	(1.0, 0.015657090716641755)	(2.0, 0.018749416656220503)	(3.0, 0.02419895827423848)	(4.0, 0.027283389988504304)	(5.0, 0.026767107653039045)	(6.0, 0.02595937051902062)	(7.0, 0.025459508172206248)	(8.0, 0.024331897028508125)	(9.0, 0.02382792968453103)	(10.0, 0.02388034734060885)	(11.0, 0.024397892752124173)	(12.0, 0.025919899392455998)	(13.0, 0.03054844157792984)	(14.0, 0.03833814734771113)	(15.0, 0.05082996948288271)	(16.0, 0.10003625470340312)	(17.0, 0.15197173149910775)	(18.0, 0.18590932188838233)	(19.0, 0.24174486175768412)	(20.0, 0.2746982001349432)	(21.0, 0.3310380231172347)	(22.0, 0.4765797502144593)	(23.0, 0.6660935753807228)	(24.0, 0.8698428991692767)	(25.0, 1.1380400468745204)	(26.0, 1.4927547463192905)	(27.0, 1.7945108773678011)	(28.0, 1.9970748042833664)	(29.0, 2.161568355973835)	(30.0, 2.2352991573204988)	(31.0, 2.322163739204781)	(32.0, 2.5090633127164166)	(33.0, 2.7096078967969355)	(34.0, 2.9308577707972057)	(35.0, 3.2073416446979324)	(36.0, 3.4251815291320313)	(37.0, 3.479734415272489)	(38.0, 3.524232268747369)	(39.0, 3.3689222272479316)	(40.0, 3.1615709263335963)	(41.0, 3.1768873022857322)	(42.0, 3.047641782386484)	(43.0, 2.87569671353864)	(44.0, 2.864358395606193)	(45.0, 2.9303395938476653)	(46.0, 3.0399667007682463)	(47.0, 3.123249514743549)	(48.0, 3.079398671975316)	(49.0, 2.932776699086271)	(50.0, 2.8535976191976395)	(51.0, 2.7141031844591277)	(52.0, 2.468706138302672)	(53.0, 2.2971339926586105)	(54.0, 2.164591528499672)	(55.0, 2.053773972401902)	(56.0, 1.9616976229660268)	(57.0, 1.7392519317153552)	(58.0, 1.4334706930642909)	(59.0, 1.2297396838784629)	(60.0, 1.157475945363953)	(61.0, 1.1008582456506466)	(62.0, 0.9186216331468492)	(63.0, 0.6586490051416226)	(64.0, 0.45739994039417814)	(65.0, 0.3454835081328488)	(66.0, 0.279399369193296)	(67.0, 0.22650584921361486)	(68.0, 0.18279931288410262)	(69.0, 0.15490648870144055)	(70.0, 0.13888973707954197)	(71.0, 0.12809580492467415)	(72.0, 0.10555337089009974)	(73.0, 0.08762211174531072)	(74.0, 0.07655630247066579)	(75.0, 0.07232657654800091)	(76.0, 0.08546351477574467)	(77.0, 0.09001658816722695)	(78.0, 0.06499094661821903)	(79.0, 0.04327519585841405)	(80.0, 0.038654547898253136)	(81.0, 0.03788975534993702)	(82.0, 0.03318669167750918)	(83.0, 0.025946108220494906)	(84.0, 0.02132482872230896)	(85.0, 0.017898419167487252)	(86.0, 0.014645998338562395)	(87.0, 0.013699638608049016)	(88.0, 0.013920361147798382)	(89.0, 0.01215489659881597)	(90.0, 0.010367328218957365)	(91.0, 0.00950527881478602)	(92.0, 0.008267148516706955)	(93.0, 0.007484357134677373)	(94.0, 0.007540879787917912)	(95.0, 0.0072137430909503236)	(96.0, 0.006253173754873682)	(97.0, 0.006353904069866597)	(98.0, 0.008020532917931198)	(99.0, 0.05684568494034362)	(100.0, 0.10427513792743101)
