Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
non_covid_1	(1.0, 41.594290873258814)	(2.0, 20.988470258747462)	(3.0, 10.290366301595915)	(4.0, 6.741030594917187)	(5.0, 3.2280611536176056)	(6.0, 3.0663948942031656)	(7.0, 1.5259518312641676)	(8.0, 1.5499384057371823)	(9.0, 1.067212017633314)	('>10', 6.809797549089337)	('>50', 0.8323768114235935)	('>100', 1.0034694927541699)	('>500', 0.30826385698595055)	('>1k', 0.44722862236946154)	('>5k', 0.2006529484365562)	('>10k+', 0.3464943879659898)
non_covid_2	(1.0, 64.60562216127487)	(2.0, 16.776865152783127)	(3.0, 4.359170846201985)	(4.0, 2.947184865659186)	(5.0, 1.2053350496193167)	(6.0, 1.3498109082409697)	(7.0, 0.8523756109826071)	(8.0, 0.9229468609959978)	(9.0, 0.6861788297203846)	('>10', 3.6842086290090497)	('>50', 0.5186882899376419)	('>100', 0.8519855684937124)	('>500', 0.1367406481933728)	('>1k', 0.3124431637217122)	('>5k', 0.06077841682191584)	('>10k+', 0.7296649983441349)
non_covid_3	(1.0, 36.80123909849299)	(2.0, 19.87254225191015)	(3.0, 8.671693908592408)	(4.0, 6.840101174284962)	(5.0, 3.150456367935849)	(6.0, 3.7969694928787483)	(7.0, 1.9732978728966974)	(8.0, 2.2104509986325147)	(9.0, 1.6235222146081185)	('>10', 9.935986600404798)	('>50', 1.0424520659798535)	('>100', 1.2282459409409112)	('>500', 0.3959492118941825)	('>1k', 0.7721358907556504)	('>5k', 0.40065703089555454)	('>10k+', 1.2842998788967326)
non_covid_4	(1.0, 27.831212509650406)	(2.0, 21.04940788297718)	(3.0, 7.094211454229353)	(4.0, 7.901317795767847)	(5.0, 3.3280448525098323)	(6.0, 4.848885739685895)	(7.0, 2.841350540684992)	(8.0, 3.3588671100173433)	(9.0, 2.6988171273855737)	('>10', 14.223823780279885)	('>50', 1.4761302452080662)	('>100', 1.4461473139647592)	('>500', 0.38899012490044244)	('>1k', 0.7932782956990773)	('>5k', 0.23618888395481566)	('>10k+', 0.48332634308438077)
non_covid_5	(1.0, 44.5285625955476)	(2.0, 20.02145605312626)	(3.0, 6.718475828009087)	(4.0, 5.5791315295540445)	(5.0, 2.3898547146980436)	(6.0, 3.0235762664436194)	(7.0, 1.7207179118832048)	(8.0, 1.9139306167979049)	(9.0, 1.4195900851757473)	('>10', 7.276938816306649)	('>50', 0.9267673711022809)	('>100', 1.2042074051300957)	('>500', 0.4046577527790478)	('>1k', 0.764262442659347)	('>5k', 0.2578950639993024)	('>10k+', 1.8499755467877754)
non_covid_6	(1.0, 38.8812365381173)	(2.0, 20.791702177985197)	(3.0, 7.840310875544672)	(4.0, 6.835186589219938)	(5.0, 2.8059153735725038)	(6.0, 3.803020625834531)	(7.0, 2.18243576637534)	(8.0, 2.3813196144257076)	(9.0, 1.721292197023669)	('>10', 9.532020228017373)	('>50', 0.9448172514606341)	('>100', 1.0738847026812097)	('>500', 0.25819334119134535)	('>1k', 0.5380309056172937)	('>5k', 0.10748185107526867)	('>10k+', 0.30315196185775883)
non_covid_7	(1.0, 43.665593714589754)	(2.0, 20.78833960321468)	(3.0, 8.047071568300918)	(4.0, 6.012431346315998)	(5.0, 2.5237214449079426)	(6.0, 2.9795568107447745)	(7.0, 1.5223660819061604)	(8.0, 1.890815085660047)	(9.0, 1.453668552522085)	('>10', 7.677797346108041)	('>50', 0.919717464716332)	('>100', 1.2213455334642778)	('>500', 0.34598552761401474)	('>1k', 0.5766544556576184)	('>5k', 0.09326180906239392)	('>10k+', 0.281673655214981)
non_covid_8	(1.0, 47.56169911878103)	(2.0, 19.125708304857216)	(3.0, 6.4472030308666)	(4.0, 5.166011564860812)	(5.0, 2.2414406769392126)	(6.0, 2.887443058917818)	(7.0, 1.674233626414169)	(8.0, 1.7293095597301422)	(9.0, 1.4924433723654615)	('>10', 7.030883602243884)	('>50', 0.8694980262145529)	('>100', 1.107474164128875)	('>500', 0.34394731217833313)	('>1k', 0.646298503150833)	('>5k', 0.17132420890029776)	('>10k+', 1.5050818694508943)
