Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
non_covid_1	(1, 36.64145104483848)	(2, 36.59313915912363)	(3, 36.64851036989357)	(4, 36.618733113510814)	(5, 36.646890582952686)	(6, 36.640382564976775)	(7, 36.57765512539683)	(8, 36.63884976467898)	(9, 36.61913712023098)	(10, 36.58638466332538)	(12, 36.601581193447814)	(14, 36.56214497687681)	(16, 36.59094987581226)	(18, 36.55670883456699)	(20, 36.555848503413785)	(22, 36.54052405486774)	(24, 36.502102384794696)	(26, 36.45514323949398)	(28, 36.5248036778559)	(30, 36.49972699612785)	(32, 36.43528082127236)	(34, 36.43742319195742)	(36, 36.40967335416877)	(38, 36.41999201104706)	(40, 36.412782101455356)	(42, 36.38971376776599)	(44, 36.361524220310386)	(46, 36.34345415229325)	(48, 36.335718545157505)	(50, 36.328450636636944)	(52, 36.3064743243113)	(54, 36.28551552540614)	(56, 36.27255129015891)	(58, 36.244559874376385)	(60, 36.224298308137406)	(62, 36.21067794825734)	(64, 36.14281184588171)	(66, 36.086876802331986)	(68, 36.12098631784588)	(70, 36.09603260771221)	(72, 36.079283842480734)	(74, 36.072228618241326)	(76, 36.02878094030176)	(78, 36.016435058707465)	(80, 35.99881488777042)	(82, 35.93506695022221)	(84, 35.926763720870994)	(86, 35.90920128448357)	(88, 35.88246212150588)	(90, 35.72005734796842)
non_covid_2	(1, 36.53028079619614)	(2, 36.49089699483553)	(3, 36.496078206587136)	(4, 36.46861420016542)	(5, 36.51253654618095)	(6, 36.517331771601775)	(7, 36.4198688833505)	(8, 36.486920474167654)	(9, 36.467755332320344)	(10, 36.45611738490558)	(12, 36.42672148765476)	(14, 36.35858242493629)	(16, 36.424362381380945)	(18, 36.408187459532584)	(20, 36.3711633406738)	(22, 36.36589105608563)	(24, 36.359049068782404)	(26, 36.2957544989794)	(28, 36.34091994167535)	(30, 36.31952211797905)	(32, 36.223453456608866)	(34, 36.283303176920754)	(36, 36.260919110178335)	(38, 36.2526022528844)	(40, 36.248608430970606)	(42, 36.23957774242107)	(44, 36.211221130004446)	(46, 36.16489922650898)	(48, 36.16344368896791)	(50, 36.16406558304493)	(52, 36.155398307093975)	(54, 36.0729420095946)	(56, 36.114761137788705)	(58, 36.07061775070953)	(60, 36.04211888200358)	(62, 36.011730115084546)	(64, 35.97365296835359)	(66, 35.9036750468178)	(68, 35.846600800732205)	(70, 35.90748003881357)	(72, 35.860386926158654)	(74, 35.80774571737982)	(76, 35.817329944958985)	(78, 35.774620169945194)	(80, 35.74632326915584)	(82, 35.67730498333793)	(84, 35.733041487292894)	(86, 35.71390593475376)	(88, 35.65766285435177)	(90, 35.54282778650971)
non_covid_3	(1, 36.63488098337862)	(2, 36.58359516336406)	(3, 36.658129758618365)	(4, 36.63336012644986)	(5, 36.652283315454156)	(6, 36.65970639323162)	(7, 36.58150243098366)	(8, 36.660891823212786)	(9, 36.63834511938805)	(10, 36.59884029911134)	(12, 36.62351621531701)	(14, 36.58653202531926)	(16, 36.61764853201976)	(18, 36.57792264432313)	(20, 36.57449310350461)	(22, 36.55334268337246)	(24, 36.50792727300059)	(26, 36.44892469650617)	(28, 36.553268259329656)	(30, 36.52027465226963)	(32, 36.44239294923956)	(34, 36.4552186839715)	(36, 36.43101792135792)	(38, 36.43920585142667)	(40, 36.43238849786101)	(42, 36.40963329777787)	(44, 36.37955412804954)	(46, 36.36395633692654)	(48, 36.35638988969207)	(50, 36.346998332871465)	(52, 36.32692256836587)	(54, 36.307702190417395)	(56, 36.29594861264235)	(58, 36.27110073205429)	(60, 36.25246518978517)	(62, 36.239880091062474)	(64, 36.17781463839074)	(66, 36.125525266760796)	(68, 36.16091921059193)	(70, 36.13660100474071)	(72, 36.116295207000576)	(74, 36.112216153288905)	(76, 36.06985153786806)	(78, 36.05768057274604)	(80, 36.04016463333749)	(82, 35.97528510512413)	(84, 35.96791788572638)	(86, 35.951087296531774)	(88, 35.92658876281568)	(90, 35.76452646705599)
non_covid_4	(1, 36.41767318644005)	(2, 36.32727439366249)	(3, 36.38967507829195)	(4, 36.370654803364694)	(5, 36.43695807877662)	(6, 36.41603437159098)	(7, 36.33600879018106)	(8, 36.397857292125494)	(9, 36.404618953493106)	(10, 36.40558442741991)	(12, 36.39072395457843)	(14, 36.37876797895947)	(16, 36.40083583360476)	(18, 36.38520441999432)	(20, 36.37882805537588)	(22, 36.34371211923454)	(24, 36.322662078359244)	(26, 36.28927662390721)	(28, 36.314247492873484)	(30, 36.29192414507428)	(32, 36.25813258144092)	(34, 36.241169242186594)	(36, 36.240096551257466)	(38, 36.22693694268264)	(40, 36.21301619953293)	(42, 36.209412400108974)	(44, 36.18655135697072)	(46, 36.18043453372939)	(48, 36.158771854275514)	(50, 36.135976390672695)	(52, 36.124886359541485)	(54, 36.112211434325864)	(56, 36.09666024302844)	(58, 36.080883292223355)	(60, 36.060488002090054)	(62, 36.04667124968661)	(64, 35.95089712644851)	(66, 35.99745254318077)	(68, 35.96397029684634)	(70, 35.96756811705444)	(72, 35.9424843907389)	(74, 35.948678099414686)	(76, 35.92708424955715)	(78, 35.89732164120217)	(80, 35.87510490968313)	(82, 35.86835074544004)	(84, 35.849953668638626)	(86, 35.821990339362735)	(88, 35.775750476797654)	(90, 35.69244002061633)
non_covid_5	(1, 36.31367324088874)	(2, 36.38199175261707)	(3, 36.392712488205056)	(4, 36.37055110250123)	(5, 36.43666461825775)	(6, 36.4171231346033)	(7, 36.31282621307274)	(8, 36.39347597536866)	(9, 36.367882617395544)	(10, 36.36353836649519)	(12, 36.362396278977656)	(14, 36.37264896919321)	(16, 36.36604846463736)	(18, 36.35366113340572)	(20, 36.33898899272603)	(22, 36.30061414563127)	(24, 36.284976947487564)	(26, 36.23123635169551)	(28, 36.308907559550235)	(30, 36.266688133855595)	(32, 36.191877472421766)	(34, 36.18081347616555)	(36, 36.175748070748384)	(38, 36.160471774278804)	(40, 36.1530169461579)	(42, 36.13425014561399)	(44, 36.122277864644694)	(46, 36.11039041478143)	(48, 36.09485914918402)	(50, 36.07795545369895)	(52, 36.047219378438086)	(54, 36.028982615505996)	(56, 35.98186664998545)	(58, 35.94474485139817)	(60, 35.910839277812826)	(62, 35.88014348056585)	(64, 35.84710920109234)	(66, 35.77573378492194)	(68, 35.790868837996456)	(70, 35.76635268439698)	(72, 35.73309217902837)	(74, 35.696352632274184)	(76, 35.67299599813024)	(78, 35.643518244934604)	(80, 35.60745922143067)	(82, 35.6166207285597)	(84, 35.59117903133085)	(86, 35.5335992134029)	(88, 35.482290553192314)	(90, 35.319634999729765)
non_covid_6	(1, 36.180439071908935)	(2, 36.057513503688995)	(3, 36.220121554968124)	(4, 36.220200030388604)	(5, 36.32127373628125)	(6, 36.30880020702351)	(7, 36.22723833357379)	(8, 36.30346645050125)	(9, 36.31254438298761)	(10, 36.317480759139286)	(12, 36.30183517604169)	(14, 36.29336294347111)	(16, 36.318440832223175)	(18, 36.30453380301585)	(20, 36.29935358684159)	(22, 36.261262951943486)	(24, 36.23648665665189)	(26, 36.19878103709924)	(28, 36.228228510336116)	(30, 36.205265045427225)	(32, 36.16635093893575)	(34, 36.14751623817273)	(36, 36.144778037210536)	(38, 36.13148747562463)	(40, 36.117015874638255)	(42, 36.114137702591236)	(44, 36.08661842801186)	(46, 36.08072692978507)	(48, 36.05794661357452)	(50, 36.03298907818824)	(52, 36.021850460412466)	(54, 36.0064564676316)	(56, 35.99063220969352)	(58, 35.97350829263751)	(60, 35.95038831995636)	(62, 35.935409930166735)	(64, 35.83495005847689)	(66, 35.88086059020823)	(68, 35.84428487311085)	(70, 35.84843756978332)	(72, 35.82010664104824)	(74, 35.82734395024717)	(76, 35.804495587771854)	(78, 35.77164736907801)	(80, 35.748639472330346)	(82, 35.741762452970875)	(84, 35.72287103486908)	(86, 35.69294017594527)	(88, 35.64242449032239)	(90, 35.55126865930463)
non_covid_7	(1, 36.46371903721703)	(2, 36.373465862085986)	(3, 36.430284480511915)	(4, 36.410949096755985)	(5, 36.47617023764263)	(6, 36.457439532466346)	(7, 36.376415517788686)	(8, 36.44222905916871)	(9, 36.446055800613216)	(10, 36.44550042896611)	(12, 36.43789730988655)	(14, 36.42555933264626)	(16, 36.44377795997437)	(18, 36.428035530385586)	(20, 36.421677400860546)	(22, 36.3853676467665)	(24, 36.363063808634436)	(26, 36.31940258662878)	(28, 36.36051271762116)	(30, 36.3389726352133)	(32, 36.301377875228866)	(34, 36.2867766857471)	(36, 36.28430471169997)	(38, 36.27430406544072)	(40, 36.26236921997165)	(42, 36.25894383230329)	(44, 36.23424280656571)	(46, 36.22849856990818)	(48, 36.2085072662119)	(50, 36.18685701297084)	(52, 36.174978475766935)	(54, 36.16264212008868)	(56, 36.14646932793258)	(58, 36.13018508295541)	(60, 36.1087455869952)	(62, 36.09416888500806)	(64, 35.99613946138699)	(66, 36.04415694687749)	(68, 36.012408486573555)	(70, 36.01623340042225)	(72, 35.991265141259305)	(74, 35.99595105495431)	(76, 35.97522408861937)	(78, 35.944605315269776)	(80, 35.92463451193321)	(82, 35.91738691174775)	(84, 35.899501162492115)	(86, 35.871527149210515)	(88, 35.825468899847834)	(90, 35.743847772608255)
non_covid_8	(1, 36.37899956843699)	(2, 36.29432944798039)	(3, 36.37239210182943)	(4, 36.343046868831934)	(5, 36.428758805818084)	(6, 36.41000145832152)	(7, 36.31509112664907)	(8, 36.3887863204238)	(9, 36.36228096044874)	(10, 36.35538795234258)	(12, 36.34926443274179)	(14, 36.351295359187226)	(16, 36.35399376246859)	(18, 36.33721168912479)	(20, 36.33096974621439)	(22, 36.2954573344451)	(24, 36.274590936887726)	(26, 36.23473834062902)	(28, 36.29838902147679)	(30, 36.255330818092844)	(32, 36.18564265952537)	(34, 36.168272888152075)	(36, 36.160944256201915)	(38, 36.14462194022941)	(40, 36.135453212738824)	(42, 36.11653207847595)	(44, 36.1050691439584)	(46, 36.09116967000968)	(48, 36.07472558527784)	(50, 36.057519649765496)	(52, 36.027150042866296)	(54, 36.00996477620165)	(56, 35.96348817194506)	(58, 35.92806336256538)	(60, 35.89675155919524)	(62, 35.87019327518736)	(64, 35.83844668608903)	(66, 35.7727378768529)	(68, 35.78646875977312)	(70, 35.76251240104561)	(72, 35.72967374002981)	(74, 35.69313396659868)	(76, 35.66985291881056)	(78, 35.64086346071541)	(80, 35.60375664407543)	(82, 35.61315586393479)	(84, 35.58659931226671)	(86, 35.52981065378735)	(88, 35.4786364735223)	(90, 35.316710331331585)
