Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
non_covid_1	(1, 0.1491216381830355)	(2, 0.058807341799578916)	(3, 0.009879558221124912)	(4, 0.0019857818022955636)	(5, 0.0010293164845034993)	(6, 0.0008542386806324703)	(7, 0.0002808294974844022)	(8, 1.1750188179263692e-05)	(9, 0.0002056282931371146)	(10, 0.00024969149880935343)	(12, 0.0014082600532847533)	(14, 0.0009911283729208925)	(16, 0.0017942537349735655)	(18, 0.0022307732258332116)	(20, 0.0015192993315787952)	(22, 0.0015809878195199296)	(24, 0.002043945233782919)	(26, 0.0021884725483878624)	(28, 0.001349509112388435)	(30, 0.0019434811248502145)	(32, 0.002573291211258748)	(34, 0.0030380111537486273)	(36, 0.0034651304940648622)	(38, 0.0027877321455303107)	(40, 0.004037364658395004)	(42, 0.00269901822477687)	(44, 0.003011573230345284)	(46, 0.0037747479525884605)	(48, 0.003374066535675569)	(50, 0.003854061722798491)	(52, 0.003257739672700858)	(54, 0.003589094979356094)	(56, 0.0035755822629499412)	(58, 0.004101990693380955)	(60, 0.005026730503089007)	(62, 0.004178366916546168)	(64, 0.013777095640186678)	(66, 0.13688146715669652)	(68, 0.030084006795368826)	(70, 0.02819575155496115)	(72, 0.02732036253560601)	(74, 0.024571993520476232)	(76, 0.02358909027928082)	(78, 0.02151106949977804)	(80, 0.02048762810936417)	(82, 0.020394214113339023)	(84, 0.01884142674544933)	(86, 0.017906699275788904)	(88, 0.016660004309969025)	(90, 0.016560715219854246)
non_covid_2	(1, 0.05404730595687515)	(2, 0.01245516838059445)	(3, 5.4741660705828024e-05)	(4, 0.0004177653053865823)	(5, 0.002296268609607628)	(6, 0.0008585797310703553)	(7, 0.002036966006264232)	(8, 0.005301297668353872)	(9, 0.000993993312816351)	(10, 0.0010156018630949673)	(12, 0.004084016002658486)	(14, 0.21828381263450783)	(16, 0.02723397620114944)	(18, 0.013609064965472562)	(20, 0.08260660657511307)	(22, 0.003888098480132364)	(24, 0.0006237668180427246)	(26, 0.0017747822628836876)	(28, 0.10659641909443292)	(30, 0.03633981928855836)	(32, 0.1413415273724294)	(34, 0.0013008347267727028)	(36, 0.0014420105885929963)	(38, 0.036711486353350566)	(40, 0.001888587294351067)	(42, 0.001639368681137692)	(44, 0.0015788647403575664)	(46, 0.10774311282921815)	(48, 0.07135863587008398)	(50, 0.004274171245110309)	(52, 0.003487620014968675)	(54, 0.14557968436707533)	(56, 0.002852328636777355)	(58, 0.0006108016878755548)	(60, 0.03758591235462524)	(62, 0.001937566674982597)	(64, 0.001704194331973541)	(66, 0.10737144576442595)	(68, 0.24918836124298488)	(70, 0.0018424890537566854)	(72, 0.002284744049459033)	(74, 0.14266108950944353)	(76, 0.002145008757657314)	(78, 0.03673453547364775)	(80, 0.1064163478421111)	(82, 0.18062587177895387)	(84, 0.03952347902960784)	(86, 0.004042239472119827)	(88, 0.005497215190879993)	(90, 0.0030914632598607094)
non_covid_3	(1, 0.1486232918134556)	(2, 0.0579034269885442)	(3, 0.009639619671468804)	(4, 0.0019626228761869934)	(5, 0.0009896691566558201)	(6, 0.0008161744471896572)	(7, 0.000288773586187866)	(8, 7.493126986910695e-06)	(9, 0.00020462000618102282)	(10, 0.0002392036691975337)	(12, 0.0013620199284669209)	(14, 0.0009135850980194963)	(16, 0.0017026690091795531)	(18, 0.0020949053872251476)	(20, 0.0014660591147082577)	(22, 0.0014934378479296623)	(24, 0.0019384143120754359)	(26, 0.002073866992223437)	(28, 0.0013245542935323674)	(30, 0.00188048667652278)	(32, 0.0025032808080117804)	(34, 0.0028960935804409832)	(36, 0.0033770946935622894)	(38, 0.0027182759130977567)	(40, 0.00394916611929374)	(42, 0.0025908927543202747)	(44, 0.0029038749046196985)	(46, 0.003630708222350036)	(48, 0.0032868889725275567)	(50, 0.0037572267895521045)	(52, 0.0031623877856681174)	(54, 0.003482286668570843)	(56, 0.003463553851103567)	(58, 0.003945707752992089)	(60, 0.0048359488784754405)	(62, 0.0040411010234792984)	(64, 0.013463708209519497)	(66, 0.1364262102619158)	(68, 0.029761835800433865)	(70, 0.02783264379849617)	(72, 0.026893697347597896)	(74, 0.024124410531550785)	(76, 0.02314021712153925)	(78, 0.021122836778909443)	(80, 0.02001500677361388)	(82, 0.02003863894334183)	(84, 0.018546930278562992)	(86, 0.017595879545608942)	(88, 0.016288328886393023)	(90, 0.016306197112284888)
non_covid_4	(1, 0.026159839540586965)	(2, 0.0022967470379979837)	(3, 3.248660607337716e-05)	(4, 0.0)	(5, 0.0003103030993905336)	(6, 0.0004646144782390752)	(7, 0.0)	(8, 1.6523359985597007e-05)	(9, 1.2602562700879074e-05)	(10, 1.4002847445421192e-05)	(12, 0.00011468332057799956)	(14, 0.0014900429966672691)	(16, 0.00028215737602523705)	(18, 0.00039039938677834285)	(20, 0.0011672773630503107)	(22, 0.0005081633337943351)	(24, 0.0009324496113905973)	(26, 0.0015681788854127194)	(28, 0.0010332701129976297)	(30, 0.0005658550652694704)	(32, 0.0016058465450409024)	(34, 0.0016468748880559864)	(36, 0.0011895418904885303)	(38, 0.0009863605740554689)	(40, 0.0016691394154942064)	(42, 0.001943175140001099)	(44, 0.0010831202499033293)	(46, 0.0007841594569435868)	(48, 0.0017716402587946893)	(50, 0.0017188495239254516)	(52, 0.0012729988612632406)	(54, 0.0010880212465092267)	(56, 0.001205225079627402)	(58, 0.0015506753261059427)	(60, 0.0013932833208194087)	(62, 0.0019265117515410478)	(64, 0.20426891759414734)	(66, 0.01462905478318043)	(68, 0.0104042556804224)	(70, 0.007135010887339915)	(72, 0.004054384449347252)	(74, 0.0027932880084126192)	(76, 0.001680341693450543)	(78, 0.0009008031761639453)	(80, 0.0008090845253964364)	(82, 0.00030330167566782303)	(84, 0.0005983416713428476)	(86, 0.00013778801886294453)	(88, 7.603546162863708e-05)	(90, 1.4422932868783828e-05)
non_covid_5	(1, 0.010041026981648184)	(2, 0.0014166153086544145)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 2.3790486099539785e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.162771463594526e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 3.2441571953917884e-06)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 7.209238211981753e-07)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.162771463594526e-06)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)
non_covid_6	(1, 0.0263123735993144)	(2, 0.002305320563526682)	(3, 2.5902478241872834e-05)	(4, 0.0)	(5, 0.00030992088001679423)	(6, 0.0004994179576810219)	(7, 0.0)	(8, 1.59050304993956e-05)	(9, 9.997447742477235e-06)	(10, 1.59050304993956e-05)	(12, 0.00011406179015280844)	(14, 0.0014982538730430655)	(16, 0.0002717488068182448)	(18, 0.0003805846583783947)	(20, 0.0011537963553704409)	(22, 0.0005012356754523812)	(24, 0.0009258999897862438)	(26, 0.001565282215861947)	(28, 0.0010404162093818922)	(30, 0.0005541767055432267)	(32, 0.0015884581174467807)	(34, 0.0016534415277728825)	(36, 0.001196739937718809)	(38, 0.0009699796457417117)	(40, 0.001680707294343275)	(42, 0.0019467757331260212)	(44, 0.0010733623439877832)	(46, 0.0007763927030919252)	(48, 0.0017715931829112496)	(50, 0.0017122901406206462)	(52, 0.0013026219979004995)	(54, 0.0011053996197079943)	(56, 0.0012342303667530986)	(58, 0.0016061808657175354)	(60, 0.0014255451621886857)	(62, 0.0019131479543558708)	(64, 0.20424240422549583)	(66, 0.014783725849188209)	(68, 0.01048436889048016)	(70, 0.007215885122854364)	(72, 0.004090546629723128)	(74, 0.0028247334166926585)	(76, 0.0017032015517638487)	(78, 0.0008984070084944316)	(80, 0.0008127470585191151)	(82, 0.00029083484341751954)	(84, 0.0005980291467772745)	(86, 0.00013314782675208315)	(88, 7.043656364018051e-05)	(90, 1.431452744945604e-05)
non_covid_7	(1, 0.02627235751565126)	(2, 0.0022877378904970365)	(3, 2.441881670977491e-05)	(4, 0.0)	(5, 0.00030447212085000586)	(6, 0.000492954862328581)	(7, 0.0)	(8, 1.7551024510150716e-05)	(9, 7.63088022180466e-06)	(10, 1.4880216432519084e-05)	(12, 0.00012705415569304757)	(14, 0.0015055726677620591)	(16, 0.00027623786402932864)	(18, 0.000414356796043993)	(20, 0.0011495921054148718)	(22, 0.0005364508795928675)	(24, 0.0009359274592043414)	(26, 0.0015994324944902565)	(28, 0.0010606923508308477)	(30, 0.0005875777770789587)	(32, 0.0016269036632887532)	(34, 0.0016906215131408222)	(36, 0.0012453596521985204)	(38, 0.001045049046376148)	(40, 0.0017207634900169508)	(42, 0.001967240921181241)	(44, 0.0011381457850821648)	(46, 0.0008237535199438128)	(48, 0.0018241619170224037)	(50, 0.0017718903875030417)	(52, 0.001336548670849086)	(54, 0.0011541706335479547)	(56, 0.0012583321485755883)	(58, 0.0016070633747120612)	(60, 0.0014517749621983363)	(62, 0.0019382435763383834)	(64, 0.20421074870373668)	(66, 0.01459596614425686)	(68, 0.01030283293146956)	(70, 0.007063142733302392)	(72, 0.004039406445412296)	(74, 0.002782982016892159)	(76, 0.0016253774872443925)	(78, 0.0008703018892968214)	(80, 0.0008126887436221963)	(82, 0.00031019528101635936)	(84, 0.0005936824812564025)	(86, 0.00014117128410338618)	(88, 7.287490611823449e-05)	(90, 1.297249637706792e-05)
non_covid_8	(1, 0.009999878876484642)	(2, 0.0013494015260454798)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 2.5950029347028456e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.8054085780571305e-06)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 8.766901806428532e-06)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 3.506760722571413e-07)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 2.8054085780571305e-06)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)
