Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
non_covid_1	(0.0, 13240.0)	(1.0, 12153.5)	(2.0, 15062.0)	(3.0, 20752.5)	(4.0, 22275.5)	(5.0, 22143.0)	(6.0, 22911.5)	(7.0, 23560.5)	(8.0, 22882.5)	(9.0, 22906.5)	(10.0, 24080.0)	(11.0, 24631.0)	(12.0, 25501.5)	(13.0, 28524.5)	(14.0, 33620.5)	(15.0, 41678.5)	(16.0, 58962.5)	(17.0, 90043.0)	(18.0, 130052.0)	(19.0, 177607.0)	(20.0, 251460.0)	(21.0, 413670.0)	(22.0, 528484.0)	(23.0, 633892.0)	(24.0, 842219.5)	(25.0, 1069662.5)	(26.0, 1406609.5)	(27.0, 1787478.0)	(28.0, 2006960.5)	(29.0, 2127135.5)	(30.0, 2260987.5)	(31.0, 2402783.5)	(32.0, 2616063.0)	(33.0, 2752261.0)	(34.0, 2829310.5)	(35.0, 3147445.0)	(36.0, 3502795.0)	(37.0, 3587547.5)	(38.0, 3612088.0)	(39.0, 3502269.5)	(40.0, 3277173.0)	(41.0, 3102482.5)	(42.0, 2867013.0)	(43.0, 2731267.5)	(44.0, 2717526.0)	(45.0, 2723708.0)	(46.0, 2760320.5)	(47.0, 2791361.0)	(48.0, 2752148.0)	(49.0, 2625443.5)	(50.0, 2434799.5)	(51.0, 2213047.0)	(52.0, 2016507.0)	(53.0, 1865158.5)	(54.0, 1737123.0)	(55.0, 1604459.0)	(56.0, 1527032.0)	(57.0, 1423270.0)	(58.0, 1211773.5)	(59.0, 1006886.0)	(60.0, 1149521.5)	(61.0, 1035142.0)	(62.0, 677066.5)	(63.0, 501631.5)	(64.0, 291369.0)	(65.0, 223683.0)	(66.0, 174546.5)	(67.0, 154361.0)	(68.0, 136236.0)	(69.0, 109256.5)	(70.0, 92245.5)	(71.0, 76705.5)	(72.0, 62063.5)	(73.0, 52293.5)	(74.0, 47170.5)	(75.0, 44924.0)	(76.0, 42183.0)	(77.0, 40481.0)	(78.0, 41885.0)	(79.0, 34409.0)	(80.0, 27074.5)	(81.0, 24952.0)	(82.0, 20579.5)	(83.0, 18401.0)	(84.0, 17539.0)	(85.0, 14660.5)	(86.0, 12970.0)	(87.0, 13343.5)	(88.0, 14050.0)	(89.0, 14779.0)	(90.0, 11781.5)	(91.0, 8168.0)	(92.0, 7570.0)	(93.0, 7587.0)	(94.0, 7564.5)	(95.0, 7760.0)	(96.0, 8706.5)	(97.0, 10982.0)	(98.0, 16590.0)	(99.0, 64242.0)	(100.0, 107832.0)
non_covid_2	(0.0, 12206.0)	(1.0, 14293.5)	(2.0, 19003.5)	(3.0, 20946.0)	(4.0, 18641.0)	(5.0, 16083.0)	(6.0, 15059.5)	(7.0, 14784.5)	(8.0, 14426.0)	(9.0, 14099.5)	(10.0, 13947.0)	(11.0, 14128.0)	(12.0, 14918.0)	(13.0, 17464.0)	(14.0, 20748.5)	(15.0, 25755.0)	(16.0, 51480.5)	(17.0, 87525.5)	(18.0, 109214.0)	(19.0, 118150.5)	(20.0, 119377.0)	(21.0, 133601.5)	(22.0, 174377.5)	(23.0, 231947.0)	(24.0, 295966.0)	(25.0, 377687.5)	(26.0, 485377.0)	(27.0, 584729.0)	(28.0, 655200.5)	(29.0, 714092.0)	(30.0, 742895.0)	(31.0, 775155.5)	(32.0, 847945.0)	(33.0, 929925.5)	(34.0, 1014120.0)	(35.0, 1110957.0)	(36.0, 1182256.0)	(37.0, 1204673.0)	(38.0, 1226985.0)	(39.0, 1201050.5)	(40.0, 1158016.0)	(41.0, 1167324.0)	(42.0, 1147040.5)	(43.0, 1120414.5)	(44.0, 1136835.0)	(45.0, 1173949.0)	(46.0, 1229975.0)	(47.0, 1277411.0)	(48.0, 1273072.5)	(49.0, 1239230.0)	(50.0, 1224795.0)	(51.0, 1165428.5)	(52.0, 1055326.0)	(53.0, 975157.0)	(54.0, 914524.5)	(55.0, 863344.0)	(56.0, 813247.5)	(57.0, 765016.0)	(58.0, 686660.5)	(59.0, 566037.0)	(60.0, 505653.0)	(61.0, 469802.0)	(62.0, 376784.0)	(63.0, 271897.0)	(64.0, 197689.5)	(65.0, 152238.0)	(66.0, 125839.5)	(67.0, 104154.5)	(68.0, 85204.0)	(69.0, 73630.0)	(70.0, 66756.0)	(71.0, 61774.0)	(72.0, 49933.0)	(73.0, 40602.5)	(74.0, 35927.5)	(75.0, 34785.0)	(76.0, 40140.0)	(77.0, 43069.0)	(78.0, 32923.0)	(79.0, 22215.5)	(80.0, 20289.0)	(81.0, 20177.5)	(82.0, 17974.0)	(83.0, 14135.0)	(84.0, 12407.0)	(85.0, 10556.5)	(86.0, 8395.0)	(87.0, 8588.0)	(88.0, 8162.5)	(89.0, 5700.0)	(90.0, 4148.0)	(91.0, 3579.5)	(92.0, 2889.5)	(93.0, 2803.5)	(94.0, 3038.5)	(95.0, 2527.5)	(96.0, 1923.0)	(97.0, 2307.5)	(98.0, 3657.0)	(99.0, 17278.0)	(100.0, 29828.0)
non_covid_3	(0.0, 21837.0)	(1.0, 20725.0)	(2.0, 24977.0)	(3.0, 32871.5)	(4.0, 35241.5)	(5.0, 35064.0)	(6.0, 36541.5)	(7.0, 38404.5)	(8.0, 37729.5)	(9.0, 37431.0)	(10.0, 39386.0)	(11.0, 40596.0)	(12.0, 42639.0)	(13.0, 47737.0)	(14.0, 56600.5)	(15.0, 72027.5)	(16.0, 99188.0)	(17.0, 146469.0)	(18.0, 214306.0)	(19.0, 310712.5)	(20.0, 457311.0)	(21.0, 747340.5)	(22.0, 949080.0)	(23.0, 1137189.5)	(24.0, 1506393.5)	(25.0, 1884116.0)	(26.0, 2387820.0)	(27.0, 2980329.0)	(28.0, 3415342.5)	(29.0, 3738203.0)	(30.0, 4102044.5)	(31.0, 4481169.5)	(32.0, 4950309.0)	(33.0, 5230885.0)	(34.0, 5397065.5)	(35.0, 5884283.0)	(36.0, 6375592.0)	(37.0, 6591105.0)	(38.0, 6723211.5)	(39.0, 6691111.0)	(40.0, 6538051.0)	(41.0, 6417969.0)	(42.0, 6216200.5)	(43.0, 6104857.5)	(44.0, 6109295.0)	(45.0, 6151679.0)	(46.0, 6272987.5)	(47.0, 6340202.5)	(48.0, 6182308.0)	(49.0, 5828367.0)	(50.0, 5380770.5)	(51.0, 4898548.5)	(52.0, 4524482.0)	(53.0, 4267442.5)	(54.0, 4032543.0)	(55.0, 3744943.5)	(56.0, 3566889.0)	(57.0, 3307645.0)	(58.0, 2792933.0)	(59.0, 2314816.5)	(60.0, 2466507.5)	(61.0, 2188370.0)	(62.0, 1514781.0)	(63.0, 1129863.0)	(64.0, 680263.0)	(65.0, 533840.0)	(66.0, 429637.5)	(67.0, 386064.0)	(68.0, 338065.5)	(69.0, 273537.0)	(70.0, 227214.5)	(71.0, 182638.5)	(72.0, 149718.0)	(73.0, 120845.5)	(74.0, 105836.0)	(75.0, 107613.0)	(76.0, 105603.5)	(77.0, 91506.5)	(78.0, 85470.0)	(79.0, 69508.0)	(80.0, 51891.5)	(81.0, 47570.0)	(82.0, 38882.5)	(83.0, 30859.5)	(84.0, 27664.5)	(85.0, 24258.5)	(86.0, 20666.0)	(87.0, 20762.5)	(88.0, 22044.0)	(89.0, 21850.0)	(90.0, 19592.0)	(91.0, 16788.5)	(92.0, 16117.0)	(93.0, 15587.5)	(94.0, 15182.5)	(95.0, 15097.0)	(96.0, 16580.0)	(97.0, 20892.0)	(98.0, 31288.0)	(99.0, 119534.0)	(100.0, 200129.0)
non_covid_4	(0.0, 172356.0)	(1.0, 161524.0)	(2.0, 179576.5)	(3.0, 206689.0)	(4.0, 196616.0)	(5.0, 180941.0)	(6.0, 171935.0)	(7.0, 166280.0)	(8.0, 158291.5)	(9.0, 152107.5)	(10.0, 148644.5)	(11.0, 147400.0)	(12.0, 150351.5)	(13.0, 162820.0)	(14.0, 186629.0)	(15.0, 225950.5)	(16.0, 304063.5)	(17.0, 438643.5)	(18.0, 615449.5)	(19.0, 831693.5)	(20.0, 1133297.0)	(21.0, 1614047.5)	(22.0, 1914129.0)	(23.0, 2255927.5)	(24.0, 2991550.0)	(25.0, 3899036.5)	(26.0, 5115286.5)	(27.0, 6420855.5)	(28.0, 7404334.0)	(29.0, 8201766.0)	(30.0, 8958394.0)	(31.0, 9680545.5)	(32.0, 10526901.0)	(33.0, 10990798.0)	(34.0, 11373657.0)	(35.0, 12522810.0)	(36.0, 13612514.0)	(37.0, 13870467.0)	(38.0, 14052767.0)	(39.0, 13734308.0)	(40.0, 12888955.5)	(41.0, 12339549.5)	(42.0, 11749953.5)	(43.0, 11484516.0)	(44.0, 11538405.0)	(45.0, 11689696.5)	(46.0, 12067611.5)	(47.0, 12413960.5)	(48.0, 12432902.5)	(49.0, 12050396.5)	(50.0, 11282766.5)	(51.0, 10235660.5)	(52.0, 9302853.0)	(53.0, 8634470.0)	(54.0, 8121645.0)	(55.0, 7617391.0)	(56.0, 7329188.0)	(57.0, 6889498.0)	(58.0, 5962406.5)	(59.0, 5018979.5)	(60.0, 4461892.0)	(61.0, 3730398.0)	(62.0, 2914313.0)	(63.0, 2261213.5)	(64.0, 1616426.5)	(65.0, 1284991.5)	(66.0, 1002156.5)	(67.0, 873416.0)	(68.0, 768972.5)	(69.0, 614355.0)	(70.0, 511678.5)	(71.0, 411671.0)	(72.0, 321098.5)	(73.0, 257037.0)	(74.0, 222988.0)	(75.0, 219770.0)	(76.0, 214129.5)	(77.0, 198164.0)	(78.0, 197676.0)	(79.0, 163342.0)	(80.0, 131483.0)	(81.0, 127597.0)	(82.0, 106908.0)	(83.0, 90477.5)	(84.0, 84393.5)	(85.0, 70647.5)	(86.0, 60326.5)	(87.0, 65007.5)	(88.0, 69363.5)	(89.0, 68482.0)	(90.0, 58686.5)	(91.0, 44508.0)	(92.0, 38275.0)	(93.0, 34541.5)	(94.0, 31881.5)	(95.0, 29223.0)	(96.0, 29098.5)	(97.0, 34767.5)	(98.0, 50199.5)	(99.0, 246525.5)	(100.0, 431331.0)
non_covid_5	(0.0, 20051.0)	(1.0, 22507.0)	(2.0, 30144.0)	(3.0, 39409.0)	(4.0, 42638.5)	(5.0, 41253.5)	(6.0, 40098.0)	(7.0, 38651.5)	(8.0, 37257.0)	(9.0, 36354.0)	(10.0, 36024.0)	(11.0, 36556.0)	(12.0, 38573.5)	(13.0, 45397.5)	(14.0, 56534.5)	(15.0, 74850.0)	(16.0, 151352.5)	(17.0, 243496.5)	(18.0, 301113.0)	(19.0, 372793.5)	(20.0, 415016.0)	(21.0, 489985.5)	(22.0, 682426.0)	(23.0, 937310.0)	(24.0, 1220412.5)	(25.0, 1579751.5)	(26.0, 2040996.5)	(27.0, 2457663.5)	(28.0, 2772577.5)	(29.0, 3049101.5)	(30.0, 3179783.0)	(31.0, 3323451.5)	(32.0, 3623306.0)	(33.0, 3932230.0)	(34.0, 4267437.5)	(35.0, 4646136.0)	(36.0, 4932255.5)	(37.0, 5040745.0)	(38.0, 5127326.0)	(39.0, 4988068.5)	(40.0, 4780829.0)	(41.0, 4821779.0)	(42.0, 4718612.5)	(43.0, 4533325.0)	(44.0, 4513609.5)	(45.0, 4619163.5)	(46.0, 4812631.0)	(47.0, 4984344.0)	(48.0, 4917717.0)	(49.0, 4686456.5)	(50.0, 4584167.0)	(51.0, 4342876.5)	(52.0, 3948662.0)	(53.0, 3718597.5)	(54.0, 3564233.5)	(55.0, 3418975.5)	(56.0, 3257777.5)	(57.0, 2860444.5)	(58.0, 2350847.0)	(59.0, 2033600.0)	(60.0, 1921781.0)	(61.0, 1823483.5)	(62.0, 1533482.5)	(63.0, 1118918.0)	(64.0, 788704.5)	(65.0, 608135.5)	(66.0, 507637.5)	(67.0, 427259.5)	(68.0, 371943.5)	(69.0, 328083.5)	(70.0, 286443.0)	(71.0, 271568.5)	(72.0, 227484.5)	(73.0, 184913.5)	(74.0, 161663.5)	(75.0, 153787.0)	(76.0, 184333.0)	(77.0, 200288.0)	(78.0, 146661.5)	(79.0, 96146.0)	(80.0, 86678.0)	(81.0, 88328.5)	(82.0, 79943.0)	(83.0, 61513.5)	(84.0, 51498.5)	(85.0, 43895.0)	(86.0, 35680.5)	(87.0, 34976.0)	(88.0, 36063.5)	(89.0, 30126.0)	(90.0, 24629.0)	(91.0, 21560.0)	(92.0, 17112.5)	(93.0, 14686.0)	(94.0, 13845.0)	(95.0, 11499.0)	(96.0, 8262.5)	(97.0, 7708.5)	(98.0, 9879.5)	(99.0, 70981.5)	(100.0, 130042.0)
non_covid_6	(0.0, 92785.0)	(1.0, 105621.0)	(2.0, 136982.0)	(3.0, 150959.0)	(4.0, 138658.0)	(5.0, 125390.5)	(6.0, 118216.0)	(7.0, 112926.0)	(8.0, 107078.5)	(9.0, 102647.5)	(10.0, 100355.5)	(11.0, 100277.0)	(12.0, 101931.5)	(13.0, 109929.5)	(14.0, 123981.0)	(15.0, 147001.0)	(16.0, 195168.5)	(17.0, 270768.0)	(18.0, 372201.5)	(19.0, 515372.0)	(20.0, 720766.0)	(21.0, 1044462.0)	(22.0, 1247245.0)	(23.0, 1479778.0)	(24.0, 1968695.5)	(25.0, 2558741.0)	(26.0, 3353068.5)	(27.0, 4192954.0)	(28.0, 4794521.5)	(29.0, 5267835.0)	(30.0, 5724814.5)	(31.0, 6152229.0)	(32.0, 6633647.5)	(33.0, 6893666.0)	(34.0, 7118486.0)	(35.0, 7855299.0)	(36.0, 8594644.0)	(37.0, 8775458.5)	(38.0, 8854420.5)	(39.0, 8597245.5)	(40.0, 8037435.0)	(41.0, 7629865.5)	(42.0, 7145230.5)	(43.0, 6893519.0)	(44.0, 6896009.0)	(45.0, 6959618.5)	(46.0, 7168948.5)	(47.0, 7387060.5)	(48.0, 7406170.0)	(49.0, 7171379.0)	(50.0, 6708015.5)	(51.0, 6109454.5)	(52.0, 5577680.0)	(53.0, 5180547.5)	(54.0, 4845659.5)	(55.0, 4512375.5)	(56.0, 4331915.0)	(57.0, 4069617.0)	(58.0, 3521620.5)	(59.0, 2964099.5)	(60.0, 2690745.0)	(61.0, 2265836.5)	(62.0, 1726467.5)	(63.0, 1334748.0)	(64.0, 955277.0)	(65.0, 765606.5)	(66.0, 605912.0)	(67.0, 532144.0)	(68.0, 478168.0)	(69.0, 392338.5)	(70.0, 325628.0)	(71.0, 265396.0)	(72.0, 216672.0)	(73.0, 179087.5)	(74.0, 158533.0)	(75.0, 160562.5)	(76.0, 155442.0)	(77.0, 135444.5)	(78.0, 128916.0)	(79.0, 106888.0)	(80.0, 84261.5)	(81.0, 79229.0)	(82.0, 66435.0)	(83.0, 54353.0)	(84.0, 48937.5)	(85.0, 42448.5)	(86.0, 36107.0)	(87.0, 37170.5)	(88.0, 39938.0)	(89.0, 40096.0)	(90.0, 35503.0)	(91.0, 28302.5)	(92.0, 24564.5)	(93.0, 22818.5)	(94.0, 21307.0)	(95.0, 19907.5)	(96.0, 20798.5)	(97.0, 25053.0)	(98.0, 36860.5)	(99.0, 189689.5)	(100.0, 333571.0)
non_covid_7	(0.0, 63920.0)	(1.0, 71390.5)	(2.0, 89580.5)	(3.0, 97377.0)	(4.0, 88838.0)	(5.0, 79532.5)	(6.0, 74753.0)	(7.0, 71167.5)	(8.0, 66955.0)	(9.0, 63882.0)	(10.0, 62359.5)	(11.0, 62193.0)	(12.0, 62282.0)	(13.0, 66143.0)	(14.0, 74486.5)	(15.0, 87993.0)	(16.0, 119353.0)	(17.0, 179735.0)	(18.0, 244928.5)	(19.0, 305111.0)	(20.0, 398614.0)	(21.0, 577380.0)	(22.0, 695589.0)	(23.0, 823815.5)	(24.0, 1091348.0)	(25.0, 1409694.5)	(26.0, 1854923.5)	(27.0, 2333673.5)	(28.0, 2656607.5)	(29.0, 2891557.5)	(30.0, 3123882.0)	(31.0, 3359361.0)	(32.0, 3651131.0)	(33.0, 3815169.0)	(34.0, 3948831.0)	(35.0, 4416739.0)	(36.0, 4900228.5)	(37.0, 5027449.0)	(38.0, 5115894.5)	(39.0, 4994428.0)	(40.0, 4668635.0)	(41.0, 4462893.0)	(42.0, 4210690.0)	(43.0, 4105616.0)	(44.0, 4140861.0)	(45.0, 4226718.5)	(46.0, 4423110.5)	(47.0, 4600439.5)	(48.0, 4644555.0)	(49.0, 4516329.0)	(50.0, 4237275.5)	(51.0, 3860942.0)	(52.0, 3530595.0)	(53.0, 3287338.0)	(54.0, 3089401.5)	(55.0, 2932725.5)	(56.0, 2858249.0)	(57.0, 2711819.5)	(58.0, 2332504.0)	(59.0, 1906186.5)	(60.0, 1730823.5)	(61.0, 1461189.0)	(62.0, 1112792.5)	(63.0, 855372.5)	(64.0, 594630.5)	(65.0, 474225.5)	(66.0, 372001.5)	(67.0, 326167.0)	(68.0, 292339.0)	(69.0, 238848.5)	(70.0, 197318.5)	(71.0, 161267.5)	(72.0, 130573.5)	(73.0, 107521.5)	(74.0, 96786.0)	(75.0, 99005.5)	(76.0, 97641.5)	(77.0, 85479.0)	(78.0, 81094.0)	(79.0, 67474.5)	(80.0, 53951.5)	(81.0, 50857.5)	(82.0, 42194.5)	(83.0, 35681.0)	(84.0, 33531.0)	(85.0, 28426.5)	(86.0, 23767.0)	(87.0, 24322.0)	(88.0, 27083.5)	(89.0, 28626.0)	(90.0, 23788.0)	(91.0, 17098.0)	(92.0, 14449.5)	(93.0, 12563.5)	(94.0, 11225.5)	(95.0, 10547.0)	(96.0, 10881.5)	(97.0, 12990.5)	(98.0, 18361.0)	(99.0, 84753.0)	(100.0, 147119.0)
non_covid_8	(0.0, 24215.0)	(1.0, 24792.0)	(2.0, 29688.5)	(3.0, 38317.5)	(4.0, 43201.5)	(5.0, 42384.0)	(6.0, 41105.0)	(7.0, 40313.5)	(8.0, 38528.0)	(9.0, 37730.0)	(10.0, 37813.0)	(11.0, 38632.5)	(12.0, 41042.5)	(13.0, 48371.5)	(14.0, 60706.0)	(15.0, 80486.0)	(16.0, 158401.0)	(17.0, 240637.5)	(18.0, 294375.5)	(19.0, 382787.5)	(20.0, 434967.0)	(21.0, 524177.5)	(22.0, 754633.5)	(23.0, 1054716.5)	(24.0, 1377340.5)	(25.0, 1802013.5)	(26.0, 2363681.5)	(27.0, 2841493.0)	(28.0, 3162240.0)	(29.0, 3422705.0)	(30.0, 3539453.0)	(31.0, 3676997.5)	(32.0, 3972941.0)	(33.0, 4290490.5)	(34.0, 4640825.5)	(35.0, 5078620.0)	(36.0, 5423555.5)	(37.0, 5509936.5)	(38.0, 5580396.0)	(39.0, 5334472.5)	(40.0, 5006145.0)	(41.0, 5030397.5)	(42.0, 4825745.5)	(43.0, 4553481.5)	(44.0, 4535528.0)	(45.0, 4640005.0)	(46.0, 4813592.5)	(47.0, 4945465.5)	(48.0, 4876030.5)	(49.0, 4643864.0)	(50.0, 4518489.0)	(51.0, 4297608.5)	(52.0, 3909038.0)	(53.0, 3637364.5)	(54.0, 3427492.0)	(55.0, 3252019.5)	(56.0, 3106222.5)	(57.0, 2753994.0)	(58.0, 2269809.0)	(59.0, 1947214.0)	(60.0, 1832789.0)	(61.0, 1743138.5)	(62.0, 1454578.5)	(63.0, 1042928.5)	(64.0, 724263.5)	(65.0, 547051.0)	(66.0, 442411.0)	(67.0, 358657.5)	(68.0, 289451.0)	(69.0, 245284.5)	(70.0, 219923.0)	(71.0, 202831.5)	(72.0, 167137.0)	(73.0, 138744.0)	(74.0, 121222.0)	(75.0, 114524.5)	(76.0, 135326.0)	(77.0, 142535.5)	(78.0, 102909.0)	(79.0, 68523.5)	(80.0, 61207.0)	(81.0, 59996.0)	(82.0, 52549.0)	(83.0, 41084.0)	(84.0, 33766.5)	(85.0, 28341.0)	(86.0, 23191.0)	(87.0, 21692.5)	(88.0, 22042.0)	(89.0, 19246.5)	(90.0, 16416.0)	(91.0, 15051.0)	(92.0, 13090.5)	(93.0, 11851.0)	(94.0, 11940.5)	(95.0, 11422.5)	(96.0, 9901.5)	(97.0, 10061.0)	(98.0, 12700.0)	(99.0, 90011.5)	(100.0, 165113.0)
