Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
non_covid_1	(4.0, 1.0)	(5.0, 19.0)	(6.0, 20.0)	(7.0, 51.0)	(8.0, 70.0)	(9.0, 80.0)	(10.0, 157.0)	(11.0, 327.0)	(12.0, 5439.0)	(13.0, 25916.0)	(14.0, 44368.0)	(15.0, 48923.0)	(16.0, 42922.0)	(17.0, 38207.0)	(18.0, 34699.0)	(19.0, 37544.0)	(20.0, 44540.0)	(21.0, 59054.0)	(22.0, 79546.0)	(23.0, 105916.0)	(24.0, 121954.0)	(25.0, 135846.0)	(26.0, 138984.0)	(27.0, 152789.0)	(28.0, 176382.0)	(29.0, 225662.0)	(30.0, 283264.0)	(31.0, 372529.0)	(32.0, 502000.0)	(33.0, 833789.0)	(34.0, 1689514.0)	(35.0, 5691564.0)	(36.0, 51184783.0)	(37.0, 23028161.0)	
non_covid_2	(4.0, 2.0)	(5.0, 1.0)	(6.0, 14.0)	(7.0, 32.0)	(8.0, 34.0)	(9.0, 56.0)	(10.0, 45.0)	(11.0, 67.0)	(12.0, 223.0)	(13.0, 2291.0)	(14.0, 9891.0)	(15.0, 12516.0)	(16.0, 12395.0)	(17.0, 12162.0)	(18.0, 12621.0)	(19.0, 14113.0)	(20.0, 17211.0)	(21.0, 23553.0)	(22.0, 32259.0)	(23.0, 43237.0)	(24.0, 53014.0)	(25.0, 62900.0)	(26.0, 74775.0)	(27.0, 95058.0)	(28.0, 129027.0)	(29.0, 183754.0)	(30.0, 247005.0)	(31.0, 308896.0)	(32.0, 393988.0)	(33.0, 571032.0)	(34.0, 971584.0)	(35.0, 2594112.0)	(36.0, 21471618.0)	(37.0, 7358997.0)	
non_covid_3	(3.0, 1.0)	(4.0, 1.0)	(5.0, 24.0)	(6.0, 36.0)	(7.0, 67.0)	(8.0, 134.0)	(9.0, 161.0)	(10.0, 326.0)	(11.0, 625.0)	(12.0, 10118.0)	(13.0, 48920.0)	(14.0, 82989.0)	(15.0, 88062.0)	(16.0, 75861.0)	(17.0, 67161.0)	(18.0, 60294.0)	(19.0, 66102.0)	(20.0, 78516.0)	(21.0, 107500.0)	(22.0, 145845.0)	(23.0, 196966.0)	(24.0, 225939.0)	(25.0, 251607.0)	(26.0, 263729.0)	(27.0, 290981.0)	(28.0, 333856.0)	(29.0, 422466.0)	(30.0, 531613.0)	(31.0, 717980.0)	(32.0, 1001776.0)	(33.0, 1695906.0)	(34.0, 3458090.0)	(35.0, 11691498.0)	(36.0, 104043298.0)	(37.0, 47533874.0)
non_covid_4	(9.0, 1.0)	(10.0, 1.0)	(11.0, 164.0)	(12.0, 7052.0)	(13.0, 50462.0)	(14.0, 106400.0)	(15.0, 127389.0)	(16.0, 122222.0)	(17.0, 124416.0)	(18.0, 131086.0)	(19.0, 158408.0)	(20.0, 198920.0)	(21.0, 283427.0)	(22.0, 398128.0)	(23.0, 556634.0)	(24.0, 671442.0)	(25.0, 781008.0)	(26.0, 847834.0)	(27.0, 981603.0)	(28.0, 1134457.0)	(29.0, 1442263.0)	(30.0, 1792669.0)	(31.0, 2421105.0)	(32.0, 3277931.0)	(33.0, 5193803.0)	(34.0, 9629142.0)	(35.0, 30216983.0)	(36.0, 228422582.0)	(37.0, 67992701.0)						
non_covid_5	(11.0, 55.0)	(12.0, 848.0)	(13.0, 7603.0)	(14.0, 24808.0)	(15.0, 42275.0)	(16.0, 49183.0)	(17.0, 49735.0)	(18.0, 50875.0)	(19.0, 56315.0)	(20.0, 68479.0)	(21.0, 92966.0)	(22.0, 132222.0)	(23.0, 182063.0)	(24.0, 234630.0)	(25.0, 290782.0)	(26.0, 358923.0)	(27.0, 467831.0)	(28.0, 657485.0)	(29.0, 940700.0)	(30.0, 1225273.0)	(31.0, 1454187.0)	(32.0, 1789741.0)	(33.0, 2520936.0)	(34.0, 4301078.0)	(35.0, 11990871.0)	(36.0, 84741043.0)	(37.0, 26980004.0)								
non_covid_6	(10.0, 1.0)	(11.0, 198.0)	(12.0, 5706.0)	(13.0, 35178.0)	(14.0, 71315.0)	(15.0, 85700.0)	(16.0, 83312.0)	(17.0, 85728.0)	(18.0, 90997.0)	(19.0, 109909.0)	(20.0, 135677.0)	(21.0, 187645.0)	(22.0, 257984.0)	(23.0, 355988.0)	(24.0, 429524.0)	(25.0, 508882.0)	(26.0, 561514.0)	(27.0, 666215.0)	(28.0, 782878.0)	(29.0, 1004335.0)	(30.0, 1254053.0)	(31.0, 1702466.0)	(32.0, 2353253.0)	(33.0, 3912498.0)	(34.0, 7823406.0)	(35.0, 24190787.0)	(36.0, 135565004.0)	(37.0, 37796011.0)							
non_covid_7	(9.0, 1.0)	(10.0, 1.0)	(11.0, 59.0)	(12.0, 2578.0)	(13.0, 18107.0)	(14.0, 38562.0)	(15.0, 46711.0)	(16.0, 44601.0)	(17.0, 44877.0)	(18.0, 46047.0)	(19.0, 55814.0)	(20.0, 69838.0)	(21.0, 98463.0)	(22.0, 138760.0)	(23.0, 193867.0)	(24.0, 233643.0)	(25.0, 269241.0)	(26.0, 290287.0)	(27.0, 338270.0)	(28.0, 392734.0)	(29.0, 502830.0)	(30.0, 631855.0)	(31.0, 847428.0)	(32.0, 1143264.0)	(33.0, 1787657.0)	(34.0, 3248598.0)	(35.0, 10009876.0)	(36.0, 83146320.0)	(37.0, 27406192.0)						
non_covid_8	(11.0, 57.0)	(12.0, 1545.0)	(13.0, 12832.0)	(14.0, 34908.0)	(15.0, 54711.0)	(16.0, 60033.0)	(17.0, 57924.0)	(18.0, 57903.0)	(19.0, 63917.0)	(20.0, 78712.0)	(21.0, 104996.0)	(22.0, 145481.0)	(23.0, 194269.0)	(24.0, 245248.0)	(25.0, 299935.0)	(26.0, 367687.0)	(27.0, 477374.0)	(28.0, 667613.0)	(29.0, 941542.0)	(30.0, 1212159.0)	(31.0, 1457171.0)	(32.0, 1838602.0)	(33.0, 2618649.0)	(34.0, 4496184.0)	(35.0, 12570722.0)	(36.0, 86580698.0)	(37.0, 27940855.0)								
